"When something is important enough, you do it even if the odds are not in your favor.","Elon Musk"
"If you get up in the morning and think the future is going to be better, it is a bright day. Otherwise, it's not.","Elon Musk"
"There have to be reasons that you get up in the morning and you want to live. Why do you want to live? What's the point? What inspires you? What do you love about the future? If the future does not include being out there among the stars and being a multi-planet species, I find that incredibly depressing.","Elon Musk"
"When Henry Ford made cheap, reliable cars, people said, 'Nah, what's wrong with a horse?' That was a huge bet he made, and it worked.","Elon Musk"
"Persistence is very important. You should not give up unless you are forced to give up.","Elon Musk"
"It's OK to have your eggs in one basket as long as you control what happens to that basket.","Elon Musk"
"If you go back a few hundred years, what we take for granted today would seem like magic-being able to talk to people over long distances, to transmit images, flying, accessing vast amounts of data like an oracle. These are all things that would have been considered magic a few hundred years ago.","Elon Musk"
"The first step is to establish that something is possible; then probability will occur.","Elon Musk"
"I think it is possible for ordinary people to choose to be extraordinary.","Elon Musk"
"I could either watch it happen or be a part of it.","Elon Musk"
